playlist_name,added_at,track_name,artist_id,artist,album,album_type,release_date,duration_ms,duration_min,popularity,is_explicit,genres,track_id,track_url,preview_url
Studies,2025-09-10T03:22:09Z,Mia & Sebastian’s Theme,2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),album,2016-12-09,98040,1.63,70,False,,1Vk4yRsz0iBzDiZEoFMQyv,https://open.spotify.com/track/1Vk4yRsz0iBzDiZEoFMQyv,
Studies,2025-09-15T23:24:14Z,Glimpse of Us X La La Land,58lQAzmAxDD6di02MvAWkv,Andy Morris,Glimpse of Us X La La Land,single,2022-11-21,243606,4.06,51,False,,7M1m2eNdCpnMLxNZnH55Eu,https://open.spotify.com/track/7M1m2eNdCpnMLxNZnH55Eu,
Studies,2025-09-15T23:24:21Z,Jacob and the Stone,0BNz24TKUn8Ov1ApFkLzA1,Emile Mosseri,Minari (Original Motion Picture Soundtrack),album,2021-02-12,98560,1.64,76,False,,2nltARCkZyrzjQANViDpuX,https://open.spotify.com/track/2nltARCkZyrzjQANViDpuX,
Studies,2025-09-16T19:32:08Z,Can You Hear The Music,24eDfi2MSYo3A87hCcgpIL,Ludwig Göransson,Oppenheimer (Original Motion Picture Soundtrack),album,2023-07-21,110160,1.84,72,False,soundtrack,4VnDmjYCZkyeqeb0NIKqdA,https://open.spotify.com/track/4VnDmjYCZkyeqeb0NIKqdA,
Studies,2025-09-16T19:38:34Z,Interstellar on Piano,58lQAzmAxDD6di02MvAWkv,Andy Morris,Interstellar on Piano,single,2022-04-10,139075,2.32,58,False,,06Muk6IyarouV5CXeQ2yBN,https://open.spotify.com/track/06Muk6IyarouV5CXeQ2yBN,
Studies,2025-09-16T19:38:42Z,Once Upon a Dream,0dOsUmRuQ52Tp8sEG10vjt,Invadable Harmony,Once Upon a Dream,single,2019-09-01,60413,1.01,63,False,,7F5zLFbg9gzx9iFNnBEvS3,https://open.spotify.com/track/7F5zLFbg9gzx9iFNnBEvS3,
Studies,2025-09-16T19:38:49Z,Idea 9,5nWYvcpaqKtp08cYxjOfFr,Gibran Alcocer,Idea 9,single,2023-05-26,137547,2.29,66,False,,3TdROUy5JZz1OcBKMZjeux,https://open.spotify.com/track/3TdROUy5JZz1OcBKMZjeux,
Studies,2025-09-16T19:38:56Z,Jacob's Prayer,0BNz24TKUn8Ov1ApFkLzA1,Emile Mosseri,Minari (Original Motion Picture Soundtrack),album,2021-02-12,94762,1.58,58,False,,6fHdMf1m47mDBcwvOiRGxQ,https://open.spotify.com/track/6fHdMf1m47mDBcwvOiRGxQ,
My Playlist #117,2025-07-09T16:15:55Z,Kashmir - Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Physical Graffiti (Deluxe Edition),album,1975-02-24,517125,8.62,70,False,"classic rock, rock, hard rock, rock and roll",6Vjk8MNXpQpi0F4BefdTyq,https://open.spotify.com/track/6Vjk8MNXpQpi0F4BefdTyq,
My Playlist #117,2025-07-09T16:16:08Z,Survive,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,Survive,single,2025-06-27,225211,3.75,78,False,soft pop,5vXPLxljVKyHDHuv3kIuKV,https://open.spotify.com/track/5vXPLxljVKyHDHuv3kIuKV,
My Playlist #117,2025-07-09T16:16:12Z,Manic,6bu7CtcOMWcS0BMq7snHW6,Wage War,Manic,album,2021-10-01,164666,2.74,60,False,"metalcore, metal, deathcore, djent",5d0CEohvmvqcizfc0cXn1t,https://open.spotify.com/track/5d0CEohvmvqcizfc0cXn1t,
My Playlist #117,2025-07-09T16:16:16Z,Zombie,6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,Zombie,single,2025-05-30,246946,4.12,70,False,,7DQotDUGnJkXgNJv363GXF,https://open.spotify.com/track/7DQotDUGnJkXgNJv363GXF,
My Playlist #117,2025-07-09T16:16:20Z,Shotgun Blues,0L5fC7Ogm2YwgqVCRcF1bT,Volbeat,Servant Of The Mind (Deluxe),album,2021-12-03,267826,4.46,66,False,"rock, metal",2SMNxADB0ffqaIoOwl2x06,https://open.spotify.com/track/2SMNxADB0ffqaIoOwl2x06,
My Playlist #117,2025-07-09T16:16:27Z,Baggy Jeans,6d4jrmreCmsenscuieJERc,The Band CAMINO,Baggy Jeans,single,2025-05-23,194426,3.24,44,False,,0BCrBLJfmn3hhZqFlS699g,https://open.spotify.com/track/0BCrBLJfmn3hhZqFlS699g,
My Playlist #117,2025-07-09T16:16:41Z,Surrounded By Heads And Bodies,3mIj9lX2MWuHmhNCA7LSCW,The 1975,A Brief Inquiry Into Online Relationships,album,2018-11-30,236073,3.93,41,False,,4EGVeQKn8WyzCmCx5YTIc4,https://open.spotify.com/track/4EGVeQKn8WyzCmCx5YTIc4,
My Playlist #117,2025-07-09T16:16:54Z,Let There Be Rock,711MCceyCBcFnzjGY4Q7Un,AC/DC,Let There Be Rock,album,1977-03-21,366346,6.11,64,False,"rock, hard rock, classic rock, rock and roll",753KutoAy00apPsplMRetG,https://open.spotify.com/track/753KutoAy00apPsplMRetG,
My Playlist #117,2025-07-09T16:17:34Z,Landmine,246dkjvS1zLTtiykXe5h60,Post Malone,AUSTIN (Bonus),album,2023-08-02,184607,3.08,21,False,,03hFV2fW04ms5oSguLYn5r,https://open.spotify.com/track/03hFV2fW04ms5oSguLYn5r,
My Playlist #117,2025-07-09T16:18:25Z,The Craving (Jenna's version),3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,Clancy,album,2024-05-24,174133,2.9,60,False,,4hfqe20vqkuRv1RDsA1LbQ,https://open.spotify.com/track/4hfqe20vqkuRv1RDsA1LbQ,
My Playlist #117,2025-07-09T16:18:30Z,Oldies Station,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,Clancy,album,2024-05-24,228000,3.8,63,False,,7dI0mSvbdJTynUnEkWIom1,https://open.spotify.com/track/7dI0mSvbdJTynUnEkWIom1,
My Playlist #117,2025-07-09T16:19:11Z,Sandstorm - Acoustic,0gadJ2b9A4SKsB1RFkBb66,Passenger,Songs for the Drunk and Broken Hearted,album,2021-01-08,250413,4.17,16,False,folk pop,1z14RGzGpfXOHWbfqE6hQj,https://open.spotify.com/track/1z14RGzGpfXOHWbfqE6hQj,
My Playlist #117,2025-07-09T16:19:57Z,Master Of Puppets,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Master Of Puppets (Remastered),album,1986-03-03,515386,8.59,79,False,"metal, thrash metal, rock, heavy metal, hard rock",2MuWTIM3b0YEAskbeeFE1i,https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i,
My Playlist #117,2025-07-09T16:20:35Z,Crow,0nJaMZM8paoA5HEUTUXPqi,Bear's Den,So that you might hear me,album,2019-04-26,296800,4.95,34,False,"folk pop, indie folk",2Oq5UPVAHHegdrtluEhoEO,https://open.spotify.com/track/2Oq5UPVAHHegdrtluEhoEO,
My Playlist #117,2025-07-09T16:20:52Z,Til You're Home - Acoustic Mix,7fRabwYwLBgvOudI9GY2Op,David Hodges,A Man Called Otto (Original Motion Picture Soundtrack),album,2022-12-30,169276,2.82,45,False,,43vXr8p0npNgpINqlJBW1Y,https://open.spotify.com/track/43vXr8p0npNgpINqlJBW1Y,
My Playlist #117,2025-07-09T16:21:30Z,A Cure For Minds Unwell,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,Broken By Desire To Be Heavenly Sent (Extended Edition),album,2024-01-01,204430,3.41,66,False,soft pop,4PwTyisf9W7zfhAAflOKag,https://open.spotify.com/track/4PwTyisf9W7zfhAAflOKag,
My Playlist #117,2025-07-09T16:27:19Z,Cleopatra,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,Cleopatra,album,2016-04-08,201413,3.36,74,False,"folk pop, indie folk",2AXY5WABx7NjWw1zb4qCdc,https://open.spotify.com/track/2AXY5WABx7NjWw1zb4qCdc,
Queue,2025-02-06T01:01:43Z,Sorry 4 The Wait,55Aa2cqylxrFIXC767Z865,Lil Wayne,Sorry 4 The Wait,album,2022-01-14,156525,2.61,63,True,"rap, hip hop",524yEMK9wdiqPMqkE9kd9H,https://open.spotify.com/track/524yEMK9wdiqPMqkE9kd9H,
Queue,2025-02-06T01:01:45Z,Let There Be Rock,711MCceyCBcFnzjGY4Q7Un,AC/DC,Let There Be Rock,album,1977-03-21,366346,6.11,64,False,"rock, hard rock, classic rock, rock and roll",753KutoAy00apPsplMRetG,https://open.spotify.com/track/753KutoAy00apPsplMRetG,
Queue,2025-02-06T01:01:51Z,For Those About to Rock (We Salute You),711MCceyCBcFnzjGY4Q7Un,AC/DC,For Those About to Rock (We Salute You),album,1981-11-23,344240,5.74,67,False,"rock, hard rock, classic rock, rock and roll",17lu4tymfnhmcIDlzBbtAb,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb,
Queue,2025-02-06T01:02:07Z,Moneytalks,711MCceyCBcFnzjGY4Q7Un,AC/DC,The Razors Edge,album,1990-09-24,225946,3.77,68,False,"rock, hard rock, classic rock, rock and roll",5u5F7qLDvZjBSktaDp4HxB,https://open.spotify.com/track/5u5F7qLDvZjBSktaDp4HxB,
Queue,2025-02-06T01:02:11Z,Shoot to Thrill,711MCceyCBcFnzjGY4Q7Un,AC/DC,Back In Black,album,1980-07-25,317426,5.29,75,False,"rock, hard rock, classic rock, rock and roll",0C80GCp0mMuBzLf3EAXqxv,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,
Queue,2025-02-06T01:02:29Z,I Wanna Rock,7b85ve82Sh36a3UAx74wut,Twisted Sister,Stay Hungry,album,1984-05-10,183390,3.06,69,False,"glam metal, glam rock",64ywvJE5j3PmRHzuah2WKR,https://open.spotify.com/track/64ywvJE5j3PmRHzuah2WKR,
Queue,2025-02-06T01:02:50Z,Dirty Harry (feat. Bootie Brown),3AA28KZvwAUcZuOKwyblJQ,"Gorillaz, Bootie Brown",Demon Days,album,2005-05-23,230426,3.84,77,False,,2bfGNzdiRa1jXZRdfssSzR,https://open.spotify.com/track/2bfGNzdiRa1jXZRdfssSzR,
Queue,2025-02-06T01:02:55Z,New Gold (feat. Tame Impala and Bootie Brown),3AA28KZvwAUcZuOKwyblJQ,"Gorillaz, Tame Impala, Bootie Brown",Cracker Island,album,2023-02-24,215149,3.59,76,True,,60SvhHtwefT0e2G7i7kOH3,https://open.spotify.com/track/60SvhHtwefT0e2G7i7kOH3,
Queue,2025-02-06T01:03:01Z,Kickstart My Heart,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Dr Feelgood,album,1989,282708,4.71,1,False,"glam metal, glam rock, hard rock",1RQwcsdHIW5p86cx8zuf1I,https://open.spotify.com/track/1RQwcsdHIW5p86cx8zuf1I,
Queue,2025-02-06T01:03:26Z,Clint Eastwood,3AA28KZvwAUcZuOKwyblJQ,"Gorillaz, Del The Funky Homosapien",Gorillaz,album,2001,340920,5.68,75,True,,7yMiX7n9SBvadzox8T5jzT,https://open.spotify.com/track/7yMiX7n9SBvadzox8T5jzT,
Queue,2025-02-06T01:03:40Z,19-2000,3AA28KZvwAUcZuOKwyblJQ,"Gorillaz, Miho Hatori, Tina Weymouth",Gorillaz,album,2001,210880,3.51,66,False,,1kSWrMDt439cT64WpjJigW,https://open.spotify.com/track/1kSWrMDt439cT64WpjJigW,
Queue,2025-02-06T01:04:01Z,Going The Distance,5fge6vobDunRkgaVl54Uh0,The Rocky Soloists & Orchestra,Rocky Balboa,album,2011-11-29,157622,2.63,41,False,,09ZLthJQ2SCYKMsrsDPcfw,https://open.spotify.com/track/09ZLthJQ2SCYKMsrsDPcfw,
Queue,2025-02-06T01:04:37Z,Phonky Town,1SwmXTElW9TlkK2Rydgb4D,PlayaPhonk,Phonky Town,single,2021-03-16,141343,2.36,62,True,"phonk, drift phonk",5mnpMkzp3Z2RCCbwIEZCbv,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv,
